#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.07        0.135        0.105  3.26444e+06  4.92528e+07  2.52113e+07  3.05741e+07  7.52738e+06  1.92212e+08  2.02495e+08  2.53869e+08  2.71858e+08  3.99363e+08  5.00683e+08      69272.1
         0.07        0.135        0.125  1.79714e+06  4.10059e+07  1.91248e+07  2.39979e+07   7.1862e+06  1.85212e+08  1.74518e+08  2.26525e+08  2.64728e+08  3.44185e+08  4.46753e+08      69272.1
         0.09        0.045        0.045  1.56176e+07  1.34553e+08  2.01011e+08  2.01011e+08  1.37273e+07  3.55467e+08  8.80965e+08  8.80965e+08  3.68603e+08  1.73744e+09  1.73744e+09      69272.1
         0.09        0.065        0.025  4.57335e+07  2.66904e+08  2.47002e+08  2.47002e+08  1.59938e+07  5.56059e+08  1.08253e+09  1.08253e+09  4.55456e+08  2.13497e+09  2.13497e+09      69272.1
         0.09        0.065        0.045  1.11577e+07  1.38084e+08  8.23321e+07  9.68685e+07  1.23838e+07  4.73772e+08  5.93043e+08   7.1941e+08  6.51294e+08   1.1696e+09  1.41883e+09      69272.1
         0.09        0.085        0.005  4.26771e+07  2.42198e+08  1.45324e+08  1.45324e+08  1.19083e+07  5.08534e+08  6.36908e+08  6.36908e+08  4.95433e+08  1.25611e+09  1.25611e+09      69272.1
         0.09        0.085        0.025  5.02349e+06   1.0632e+08  7.21556e+07  8.99874e+07  1.48287e+07  4.81019e+08  6.72362e+08  8.80843e+08  7.04923e+08  1.32604e+09   1.7372e+09      69272.1
         0.09        0.085        0.045  2.42713e+06  7.30166e+07  5.06453e+07  6.28015e+07  1.12187e+07  3.80995e+08  4.48988e+08  5.79299e+08  5.97334e+08  8.85498e+08   1.1425e+09      69272.1
         0.09        0.085        0.065  1.66972e+06  6.09871e+07  4.15679e+07  5.23672e+07  9.87521e+06  3.44362e+08  3.65265e+08  4.67081e+08  5.45799e+08  7.20377e+08  9.21181e+08      69272.1
         0.09        0.085        0.085  1.24622e+06  5.08443e+07  3.31238e+07  4.21352e+07  8.71008e+06  2.91576e+08  2.90433e+08  3.69758e+08   4.5606e+08  5.72793e+08   7.2924e+08      69272.1
         0.09        0.105        0.015  4.96834e+07  2.66119e+08  1.78964e+08  1.78964e+08  1.48574e+07  5.15841e+08   7.8434e+08   7.8434e+08  3.95433e+08  1.54688e+09  1.54688e+09      69272.1
         0.09        0.105        0.035  7.25342e+06  9.37897e+07  5.58924e+07  6.79835e+07  1.18116e+07  3.34014e+08  4.54756e+08   5.7236e+08  4.45323e+08  8.96873e+08  1.12881e+09      69272.1
         0.09        0.105        0.055  2.61328e+06  5.73009e+07   3.6932e+07   4.5574e+07  9.43211e+06  2.70307e+08  3.18032e+08  4.06753e+08  4.09542e+08  6.27224e+08    8.022e+08      69272.1
