#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
      0.03818     0.091757     0.102501  1.68118e+06   2.9281e+07  1.09657e+07  1.37766e+07  5.73486e+06  1.18509e+08  1.17723e+08  1.53585e+08  1.68966e+08  2.66291e+08  3.47374e+08      48176.7
      0.03818     0.091757      0.11325  2.91882e+06  3.00232e+07  1.36913e+07  1.64757e+07  5.62565e+06  9.34611e+07  1.17607e+08  1.44292e+08  1.16301e+08  2.65684e+08  3.25355e+08      48176.7
      0.03818     0.102501     0.102501       966910  2.35214e+07  8.42166e+06  1.07866e+07  5.50658e+06  1.08581e+08  1.00131e+08  1.33665e+08  1.64731e+08  2.27242e+08  3.03432e+08      48176.7
      0.03818     0.102501      0.11325  1.41719e+06  2.41283e+07  8.62206e+06  1.09119e+07  5.39738e+06  9.70572e+07  9.48911e+07  1.24324e+08  1.38322e+08  2.15675e+08  2.82424e+08      48176.7
      0.03818     0.102501     0.124006  2.39871e+06  2.47735e+07  1.13152e+07  1.36419e+07    5.329e+06  7.92901e+07  9.72525e+07  1.19206e+08  1.02417e+08  2.20148e+08  2.69294e+08      48176.7
      0.03818      0.11325      0.11325       882204  2.07353e+07   6.9905e+06  9.00968e+06  5.28817e+06  9.38958e+07  8.56083e+07  1.14897e+08  1.41148e+08  1.95142e+08  2.61902e+08      48176.7
      0.03818      0.11325     0.124006  1.28852e+06  2.16019e+07  7.45704e+06  9.48053e+06  5.21979e+06  8.62302e+07  8.32989e+07   1.0945e+08  1.22551e+08  1.89672e+08  2.49057e+08      48176.7
      0.03818      0.11325     0.134761  2.07138e+06  2.11839e+07  9.73473e+06  1.17737e+07    5.135e+06  6.74992e+07  8.41277e+07  1.03262e+08  8.61847e+07  1.90316e+08   2.3315e+08      48176.7
      0.03818     0.124006     0.124006       834405  1.92335e+07  6.19046e+06  8.00571e+06  5.15141e+06  8.55517e+07  7.70295e+07  1.03739e+08  1.27233e+08  1.75507e+08  2.36392e+08      48176.7
      0.03818     0.124006     0.134761   1.1866e+06  1.94796e+07  6.51751e+06   8.3224e+06  5.06663e+06  7.62567e+07  7.37468e+07  9.72237e+07  1.06365e+08  1.67474e+08  2.20702e+08      48176.7
      0.03818     0.124006     0.145531  1.78354e+06  1.77615e+07  8.35138e+06  1.01468e+07  4.96557e+06  5.47565e+07  7.28539e+07   8.9696e+07  6.61732e+07  1.64395e+08  2.02027e+08      48176.7
      0.03818     0.134761     0.134761       757572  1.71866e+07    5.291e+06   6.8738e+06  4.98184e+06  7.49908e+07  6.68869e+07  9.04138e+07  1.09504e+08  1.51787e+08  2.05289e+08      48176.7
      0.03818     0.134761     0.145531  1.04653e+06  1.67126e+07  5.42686e+06  6.97143e+06  4.88078e+06  6.38828e+07  6.24321e+07  8.26396e+07  8.66802e+07   1.4125e+08  1.86948e+08      48176.7
      0.03818     0.145531     0.145531       648282  1.44193e+07  4.24703e+06  5.55841e+06  4.77972e+06  6.18332e+07  5.49565e+07  7.46268e+07  8.84575e+07  1.24359e+08  1.69006e+08      48176.7
     0.048836     0.048836     0.048836       974981  4.64848e+07   3.0987e+07  3.97262e+07  8.14441e+06  3.08532e+08  3.16319e+08  4.03626e+08  5.58077e+08  7.21172e+08  9.17865e+08      48176.7
     0.048836     0.048836     0.059539  1.33766e+06  4.69465e+07  2.80018e+07  3.53842e+07  7.67372e+06  2.76803e+08  2.80287e+08  3.56668e+08  4.77593e+08  6.39314e+08  8.11772e+08      48176.7
     0.048836     0.048836     0.070261  2.75112e+06  5.34587e+07  2.79279e+07  3.40106e+07  7.31052e+06  2.44262e+08  2.57066e+08  3.21648e+08  3.84625e+08  5.84176e+08  7.29925e+08      48176.7
     0.048836     0.048836        0.081  5.75034e+06  6.22006e+07  2.98991e+07   3.4904e+07  6.89644e+06  1.97782e+08   2.3571e+08  2.82399e+08   2.5615e+08  5.32034e+08  6.36653e+08      48176.7
     0.048836     0.059539     0.059539       935056  3.88222e+07  2.41552e+07  3.07261e+07  7.20303e+06  2.43515e+08   2.4579e+08   3.1378e+08  4.31877e+08   5.6125e+08  7.14878e+08      48176.7
     0.048836     0.059539     0.070261  1.36881e+06  4.01472e+07  2.24157e+07  2.80085e+07  6.83982e+06  2.18882e+08  2.21421e+08  2.81541e+08  3.67329e+08   5.0427e+08  6.40114e+08      48176.7
     0.048836     0.059539        0.081  2.62877e+06  4.37904e+07  2.15187e+07  2.60605e+07  6.42575e+06  1.82263e+08  1.96095e+08  2.45157e+08  2.72756e+08  4.44245e+08  5.54898e+08      48176.7
     0.048836     0.059539     0.091757  4.93599e+06    4.842e+07  2.26358e+07  2.64266e+07  6.05711e+06  1.40512e+08   1.7766e+08  2.12451e+08  1.64537e+08  4.01075e+08  4.79041e+08      48176.7
     0.048836     0.070261     0.070261       945511  3.38984e+07  1.93543e+07  2.43586e+07  6.47662e+06  1.97632e+08  1.96307e+08  2.51347e+08  3.41382e+08  4.46504e+08  5.70812e+08      48176.7
     0.048836     0.070261        0.081  1.30876e+06    3.345e+07  1.70996e+07  2.12454e+07  6.06254e+06  1.68687e+08  1.69994e+08  2.17254e+08  2.72804e+08  3.85165e+08  4.91823e+08      48176.7
